brand,sum,not_detected,perc
Amazon,461,49,0.8937093275488069
Rackspace,461,200,0.5661605206073752
Navy Federal Credit Union,461,235,0.4902386117136659
American Express,461,260,0.4360086767895879
AOL,376,248,0.34042553191489366
Google,461,313,0.32104121475054226
Instagram,458,335,0.2685589519650655
Orange,461,344,0.2537960954446855
Bank of America,461,345,0.2516268980477223
Deutsche Telekom,440,337,0.23409090909090913
Standard Chartered Bank,427,360,0.15690866510538637
1&1 Ionos,461,412,0.10629067245119306
eBay,461,415,0.09978308026030369
PayPal,457,413,0.09628008752735229
IRS,461,419,0.09110629067245124
Alaska USA Federal Credit Union,461,428,0.07158351409978303
Spotify,461,429,0.06941431670281994
Steam,461,433,0.06073752711496749
Netflix,461,437,0.05206073752711493
WhatsApp,461,446,0.03253796095444683
PostFinance,461,447,0.030368763557483747
Dropbox,455,442,0.02857142857142858
Facebook,461,449,0.026030368763557465
AT&T,461,451,0.021691973969631184
Etisalat,461,457,0.008676789587852451
Banca Sella,461,457,0.008676789587852451
Adobe,458,457,0.0021834061135370675
Leboncoin,3,3,0.0
OneDrive,121,121,0.0
Yahoo,3,3,0.0
Apple Federal Credit Union,1,1,0.0
Interac,15,15,0.0
163.cn,25,25,0.0
Credit Agricole,55,55,0.0
Apple Software Update,1,1,0.0
KTB Bank,1,1,0.0
Microsoft,87,87,0.0
GoDaddy,459,459,0.0
DocuSign,349,349,0.0
Societe Generale,406,406,0.0
DHL Airways,440,440,0.0
Scotiabank,446,446,0.0
WeTransfer,450,450,0.0
Apple,458,458,0.0
Blockchain,461,461,0.0
Bet365,461,461,0.0
Spectrum,461,461,0.0
Square,461,461,0.0
Apple Kit Installer,1,1,0.0
